X,Y,min,,max,diff in meV_max
168,-1688.35248,-1688.3602,,-1688.351553,25.24
169,-1688.352341,-1688.3602,,-1688.351553,21.44
170,-1688.35221,-1688.3602,,-1688.351553,17.88
171,-1688.352089,-1688.3602,,-1688.351553,14.6
172,-1688.35198,-1688.3602,,-1688.351553,11.62
173,-1688.351883,-1688.3602,,-1688.351553,8.97
174,-1688.351798,-1688.3602,,-1688.351553,6.67
175,-1688.351726,-1688.3602,,-1688.351553,4.71
176,-1688.351665,-1688.3602,,-1688.351553,3.04
177,-1688.351615,-1688.3602,,-1688.351553,1.68
178,-1688.351577,-1688.3602,,-1688.351553,0.65
179,-1688.351556,-1688.3602,,-1688.351553,0.09
180,-1688.351553,-1688.3602,,-1688.351553,0
181,-1688.351563,-1688.3602,,-1688.351553,0.28
182,-1688.351587,-1688.3602,,-1688.351553,0.93
183,-1688.351626,-1688.3602,,-1688.351553,1.99
184,-1688.351681,-1688.3602,,-1688.351553,3.47
185,-1688.351749,-1688.3602,,-1688.351553,5.34
186,-1688.35183,-1688.3602,,-1688.351553,7.54
187,-1688.351922,-1688.3602,,-1688.351553,10.03
188,-1688.352025,-1688.3602,,-1688.351553,12.83
189,-1688.35214,-1688.3602,,-1688.351553,15.98
190,-1688.352267,-1688.3602,,-1688.351553,19.44
191,-1688.352403,-1688.3602,,-1688.351553,23.14
192,-1688.352548,-1688.3602,,-1688.351553,27.07
193,-1688.352701,-1688.3602,,-1688.351553,31.25
194,-1688.352865,-1688.3602,,-1688.351553,35.7
195,-1688.353035,-1688.3602,,-1688.351553,40.33
196,-1688.353211,-1688.3602,,-1688.351553,45.11
197,-1688.353391,-1688.3602,,-1688.351553,50.02
198,-1688.353577,-1688.3602,,-1688.351553,55.08
199,-1688.353767,-1688.3602,,-1688.351553,60.25
200,-1688.353959,-1688.3602,,-1688.351553,65.48
201,-1688.354153,-1688.3602,,-1688.351553,70.76
202,-1688.354348,-1688.3602,,-1688.351553,76.06
203,-1688.354544,-1688.3602,,-1688.351553,81.4
204,-1688.354743,-1688.3602,,-1688.351553,86.81
205,-1688.354944,-1688.3602,,-1688.351553,92.28
206,-1688.355146,-1688.3602,,-1688.351553,97.79
207,-1688.355349,-1688.3602,,-1688.351553,103.29
208,-1688.35555,-1688.3602,,-1688.351553,108.77
209,-1688.355751,-1688.3602,,-1688.351553,114.23
210,-1688.355951,-1688.3602,,-1688.351553,119.67
211,-1688.356149,-1688.3602,,-1688.351553,125.07
212,-1688.356346,-1688.3602,,-1688.351553,130.42
213,-1688.356539,-1688.3602,,-1688.351553,135.69
214,-1688.35673,-1688.3602,,-1688.351553,140.87
215,-1688.356916,-1688.3602,,-1688.351553,145.95
216,-1688.357099,-1688.3602,,-1688.351553,150.93
217,-1688.357278,-1688.3602,,-1688.351553,155.8
218,-1688.357453,-1688.3602,,-1688.351553,160.56
219,-1688.357624,-1688.3602,,-1688.351553,165.22
220,-1688.357792,-1688.3602,,-1688.351553,169.76
221,-1688.357954,-1688.3602,,-1688.351553,174.2
222,-1688.358113,-1688.3602,,-1688.351553,178.51
223,-1688.358267,-1688.3602,,-1688.351553,182.69
224,-1688.358415,-1688.3602,,-1688.351553,186.72
225,-1688.358558,-1688.3602,,-1688.351553,190.61
226,-1688.358695,-1688.3602,,-1688.351553,194.35
227,-1688.358827,-1688.3602,,-1688.351553,197.93
228,-1688.358952,-1688.3602,,-1688.351553,201.35
229,-1688.359072,-1688.3602,,-1688.351553,204.61
230,-1688.359187,-1688.3602,,-1688.351553,207.72
231,-1688.359295,-1688.3602,,-1688.351553,210.68
232,-1688.359399,-1688.3602,,-1688.351553,213.5
233,-1688.359496,-1688.3602,,-1688.351553,216.15
234,-1688.359588,-1688.3602,,-1688.351553,218.65
235,-1688.359674,-1688.3602,,-1688.351553,220.98
236,-1688.359753,-1688.3602,,-1688.351553,223.13
237,-1688.359825,-1688.3602,,-1688.351553,225.11
238,-1688.359892,-1688.3602,,-1688.351553,226.91
239,-1688.359951,-1688.3602,,-1688.351553,228.53
240,-1688.360004,-1688.3602,,-1688.351553,229.97
241,-1688.360051,-1688.3602,,-1688.351553,231.24
242,-1688.360091,-1688.3602,,-1688.351553,232.33
243,-1688.360125,-1688.3602,,-1688.351553,233.26
244,-1688.360153,-1688.3602,,-1688.351553,234.01
245,-1688.360175,-1688.3602,,-1688.351553,234.61
246,-1688.360191,-1688.3602,,-1688.351553,235.05
247,-1688.360201,-1688.3602,,-1688.351553,235.33
248,-1688.360206,-1688.3602,,-1688.351553,235.46
249,-1688.360205,-1688.3602,,-1688.351553,235.43
250,-1688.360199,-1688.3602,,-1688.351553,235.26
251,-1688.360187,-1688.3602,,-1688.351553,234.95
252,-1688.360171,-1688.3602,,-1688.351553,234.51
253,-1688.36015,-1688.3602,,-1688.351553,233.95
254,-1688.360126,-1688.3602,,-1688.351553,233.29
255,-1688.360098,-1688.3602,,-1688.351553,232.53
256,-1688.360067,-1688.3602,,-1688.351553,231.69
257,-1688.360034,-1688.3602,,-1688.351553,230.79
258,-1688.359999,-1688.3602,,-1688.351553,229.84
259,-1688.359963,-1688.3602,,-1688.351553,228.86
260,-1688.359926,-1688.3602,,-1688.351553,227.85
261,-1688.359889,-1688.3602,,-1688.351553,226.84
262,-1688.359853,-1688.3602,,-1688.351553,225.84
